,tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,time_per_seu_(s)
0,"(0, 0, 214)",0.7608,class_token,0.01766572,-0.017665719613432884,0,-9.584229178428586
1,"(0, 0, 311)",0.7608,class_token,-0.00073197,0.0007319700089283288,0,-9.584229178428586
2,"(0, 0, 402)",0.7608,class_token,-0.0009300846,0.0009300846140831709,0,-9.584229178428586
3,"(0, 0, 436)",0.7602,class_token,0.008093885,-0.008093885146081448,0,-9.584229178428586
4,"(0, 0, 497)",0.7608,class_token,0.00042893164,-0.00042893164209090173,0,-9.584229178428586
5,"(0, 0, 519)",0.7608,class_token,-0.0011764403,0.001176440273411572,0,-9.584229178428586
6,"(0, 0, 722)",0.7608,class_token,0.008097918,-0.008097917772829533,0,-9.584229178428586
0,"(83, 0, 17, 22)",0.7608,conv_proj.weight,-0.00072585075,0.0007258507539518178,0,-10.309726987111112
1,"(240, 0, 9, 8)",0.7608,conv_proj.weight,-0.004126595,0.004126594867557287,0,-10.309726987111112
2,"(274, 2, 25, 6)",0.7608,conv_proj.weight,-0.0026158707,0.002615870675072074,0,-10.309726987111112
3,"(338, 0, 26, 7)",0.7608,conv_proj.weight,-0.0006319949,0.0006319949170574546,0,-10.309726987111112
4,"(407, 2, 29, 27)",0.7608,conv_proj.weight,-0.0012741446,0.0012741446262225509,0,-10.309726987111112
5,"(441, 0, 15, 13)",0.7608,conv_proj.weight,0.0004608373,-0.0004608372983057052,0,-10.309726987111112
6,"(570, 0, 0, 22)",0.761,conv_proj.weight,0.009537188,-0.009537188336253166,0,-10.309726987111112
7,"(631, 1, 26, 9)",0.7608,conv_proj.weight,-0.0018466082,0.0018466082401573658,0,-10.309726987111112
8,"(727, 0, 13, 17)",0.761,conv_proj.weight,-0.011837181,0.011837180703878403,0,-10.309726987111112
0,"(19,)",0.7606,conv_proj.bias,0.21046539,-0.21046538650989532,0,-9.891682515399998
1,"(622,)",0.7608,conv_proj.bias,-0.0019320071,0.0019320071442052722,0,-9.891682515399998
2,"(632,)",0.7608,conv_proj.bias,-0.021533335,0.021533334627747536,0,-9.891682515399998
3,"(635,)",0.7612,conv_proj.bias,0.034329332,-0.034329332411289215,0,-9.891682515399998
4,"(647,)",0.7608,conv_proj.bias,-0.033188887,0.03318888694047928,0,-9.891682515399998
0,"(0, 4, 117)",0.7608,encoder.pos_embedding,0.0047826613,-0.004782661329954863,0,-9.788998849333344
1,"(0, 7, 4)",0.7608,encoder.pos_embedding,0.085817255,-0.08581725507974625,0,-9.788998849333344
2,"(0, 11, 25)",0.7608,encoder.pos_embedding,0.0053556054,-0.005355605389922857,0,-9.788998849333344
3,"(0, 13, 622)",0.7608,encoder.pos_embedding,0.05565326,-0.05565325915813446,0,-9.788998849333344
4,"(0, 16, 112)",0.7608,encoder.pos_embedding,-0.04379804,0.043798040598630905,0,-9.788998849333344
5,"(0, 16, 434)",0.7608,encoder.pos_embedding,0.0025954663,-0.0025954663287848234,0,-9.788998849333344
6,"(0, 28, 520)",0.7608,encoder.pos_embedding,0.23163332,-0.23163332045078278,0,-9.788998849333344
7,"(0, 31, 453)",0.7608,encoder.pos_embedding,-0.019385705,0.019385704770684242,0,-9.788998849333344
8,"(0, 32, 125)",0.7612,encoder.pos_embedding,0.2239102,-0.22391019761562347,0,-9.788998849333344
9,"(0, 32, 175)",0.7608,encoder.pos_embedding,-0.15264928,0.15264928340911865,0,-9.788998849333344
10,"(0, 43, 509)",0.7608,encoder.pos_embedding,-0.11899884,0.11899884045124054,0,-9.788998849333344
11,"(0, 45, 705)",0.7608,encoder.pos_embedding,0.022621276,-0.02262127585709095,0,-9.788998849333344
0,"(2,)",0.7604,encoder.layers.encoder_layer_0.ln_1.weight,0.091048196,-0.09104819595813751,0,-9.757300960999999
1,"(31,)",0.7602,encoder.layers.encoder_layer_0.ln_1.weight,0.06066752,-0.06066751852631569,0,-9.757300960999999
2,"(72,)",0.7608,encoder.layers.encoder_layer_0.ln_1.weight,-0.0014043704,0.0014043704140931368,0,-9.757300960999999
3,"(289,)",0.76,encoder.layers.encoder_layer_0.ln_1.weight,0.12492947,-0.12492947280406952,0,-9.757300960999999
0,"(68,)",0.7608,encoder.layers.encoder_layer_0.ln_1.bias,0.00020674134,-0.00020674134430009872,0,-9.705927705000022
1,"(156,)",0.7608,encoder.layers.encoder_layer_0.ln_1.bias,-0.0008476997,0.0008476997027173638,0,-9.705927705000022
2,"(275,)",0.7608,encoder.layers.encoder_layer_0.ln_1.bias,0.0005984532,-0.0005984532181173563,0,-9.705927705000022
3,"(302,)",0.762,encoder.layers.encoder_layer_0.ln_1.bias,0.045044933,-0.04504493251442909,0,-9.705927705000022
4,"(374,)",0.7608,encoder.layers.encoder_layer_0.ln_1.bias,-0.0022136527,0.0022136527113616467,0,-9.705927705000022
5,"(401,)",0.761,encoder.layers.encoder_layer_0.ln_1.bias,0.009959389,-0.009959389455616474,0,-9.705927705000022
6,"(472,)",0.7608,encoder.layers.encoder_layer_0.ln_1.bias,0.0013336964,-0.001333696418441832,0,-9.705927705000022
7,"(603,)",0.7608,encoder.layers.encoder_layer_0.ln_1.bias,0.022166047,-0.022166047245264053,0,-9.705927705000022
0,"(124, 757)",0.7608,encoder.layers.encoder_layer_0.self_attention.in_proj_weight,-0.0029174092,0.002917409176006913,0,-9.976660338363631
