tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 0, 0, 0)",0.96,conv1.weight,0.37599877,-0.3759987652301788,0,0.98,0.02,relu
"(0, 0, 0, 1)",0.97,conv1.weight,0.27309045,-0.2730904519557953,0,0.98,0.01,relu
"(0, 0, 0, 2)",0.97,conv1.weight,-0.22638333,0.2263833284378051,0,0.98,0.01,relu
"(0, 0, 1, 0)",0.96,conv1.weight,0.3167539,-0.3167538940906524,0,0.98,0.02,relu
"(0, 0, 1, 1)",0.96,conv1.weight,0.2752458,-0.2752457857131958,0,0.98,0.02,relu
"(0, 0, 1, 2)",0.97,conv1.weight,0.30430445,-0.3043044507503509,0,0.98,0.01,relu
"(0, 0, 2, 0)",0.97,conv1.weight,-0.13810466,0.1381046622991562,0,0.98,0.01,relu
"(0, 0, 2, 1)",0.96,conv1.weight,-0.3134435,0.313443511724472,0,0.98,0.02,relu
"(0, 0, 2, 2)",0.97,conv1.weight,0.42073986,-0.4207398593425751,0,0.98,0.01,relu
"(1, 0, 0, 0)",0.95,conv1.weight,0.25937942,-0.2593794167041778,0,0.98,0.03,relu
"(1, 0, 0, 1)",0.98,conv1.weight,-0.17815742,0.1781574189662933,0,0.98,0.0,relu
"(1, 0, 0, 2)",0.96,conv1.weight,-0.12546244,0.1254624426364898,0,0.98,0.02,relu
"(1, 0, 1, 0)",0.95,conv1.weight,0.3165047,-0.3165046870708465,0,0.98,0.03,relu
"(1, 0, 1, 1)",0.98,conv1.weight,-0.23523676,0.2352367639541626,0,0.98,0.0,relu
"(1, 0, 1, 2)",0.98,conv1.weight,-0.23963015,0.2396301478147506,0,0.98,0.0,relu
"(1, 0, 2, 0)",0.97,conv1.weight,0.16559257,-0.1655925661325454,0,0.98,0.01,relu
"(1, 0, 2, 1)",0.97,conv1.weight,-0.3649037,0.3649036884307861,0,0.98,0.01,relu
"(1, 0, 2, 2)",0.98,conv1.weight,0.12479714,-0.1247971430420875,0,0.98,0.0,relu
"(2, 0, 0, 0)",0.96,conv1.weight,0.47113648,-0.4711364805698395,0,0.98,0.02,relu
"(2, 0, 0, 1)",0.97,conv1.weight,0.19782932,-0.197829321026802,0,0.98,0.01,relu
"(2, 0, 0, 2)",0.97,conv1.weight,-0.2460014,0.2460013926029205,0,0.98,0.01,relu
"(2, 0, 1, 0)",0.96,conv1.weight,0.22903053,-0.2290305346250534,0,0.98,0.02,relu
"(2, 0, 1, 1)",0.98,conv1.weight,0.16329111,-0.1632911115884781,0,0.98,0.0,relu
"(2, 0, 1, 2)",0.96,conv1.weight,-0.3710307,0.3710306882858276,0,0.98,0.02,relu
"(2, 0, 2, 0)",0.94,conv1.weight,0.37195146,-0.3719514608383178,0,0.98,0.04,relu
"(2, 0, 2, 1)",0.98,conv1.weight,-0.034626957,0.0346269570291042,0,0.98,0.0,relu
"(2, 0, 2, 2)",0.96,conv1.weight,-0.3900149,0.3900148868560791,0,0.98,0.02,relu
"(3, 0, 0, 0)",0.95,conv1.weight,0.3320714,-0.3320713937282562,0,0.98,0.03,relu
"(3, 0, 0, 1)",0.97,conv1.weight,0.07358116,-0.0735811591148376,0,0.98,0.01,relu
"(3, 0, 0, 2)",0.95,conv1.weight,0.37924466,-0.3792446553707123,0,0.98,0.03,relu
