tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 0, 0, 0)",0.95,conv1.weight,0.1429112,-0.14291119575500488,0,0.95,0.0,gelu
"(0, 0, 0, 1)",0.94,conv1.weight,-0.25090748,0.2509074807167053,0,0.95,0.010000000000000009,gelu
"(0, 0, 0, 2)",0.94,conv1.weight,-0.10363438,0.10363437980413437,0,0.95,0.010000000000000009,gelu
"(0, 0, 1, 0)",0.94,conv1.weight,0.35798535,-0.35798534750938416,0,0.95,0.010000000000000009,gelu
"(0, 0, 1, 1)",0.94,conv1.weight,0.38530323,-0.38530322909355164,0,0.95,0.010000000000000009,gelu
"(0, 0, 1, 2)",0.94,conv1.weight,0.24277385,-0.2427738457918167,0,0.95,0.010000000000000009,gelu
"(0, 0, 2, 0)",0.95,conv1.weight,0.016158352,-0.01615835167467594,0,0.95,0.0,gelu
"(0, 0, 2, 1)",0.94,conv1.weight,0.39730027,-0.39730027318000793,0,0.95,0.010000000000000009,gelu
"(0, 0, 2, 2)",0.93,conv1.weight,0.7533658,-0.7533658146858215,0,0.95,0.019999999999999907,gelu
"(1, 0, 0, 0)",0.96,conv1.weight,-0.06750675,0.06750675290822983,0,0.95,-0.010000000000000009,gelu
"(1, 0, 0, 1)",0.96,conv1.weight,-0.42619452,0.42619451880455017,0,0.95,-0.010000000000000009,gelu
"(1, 0, 0, 2)",0.85,conv1.weight,-0.70052326,0.7005232572555542,0,0.95,0.09999999999999998,gelu
"(1, 0, 1, 0)",0.94,conv1.weight,0.07985826,-0.07985825836658478,0,0.95,0.010000000000000009,gelu
"(1, 0, 1, 1)",0.96,conv1.weight,-0.22053482,0.2205348163843155,0,0.95,-0.010000000000000009,gelu
"(1, 0, 1, 2)",0.95,conv1.weight,-0.26173347,0.2617334723472595,0,0.95,0.0,gelu
"(1, 0, 2, 0)",0.91,conv1.weight,0.29364648,-0.2936464846134186,0,0.95,0.039999999999999925,gelu
"(1, 0, 2, 1)",0.9,conv1.weight,0.57214445,-0.5721444487571716,0,0.95,0.04999999999999993,gelu
"(1, 0, 2, 2)",0.9,conv1.weight,0.5573571,-0.5573570728302002,0,0.95,0.04999999999999993,gelu
"(2, 0, 0, 0)",0.95,conv1.weight,0.13826428,-0.13826428353786469,0,0.95,0.0,gelu
"(2, 0, 0, 1)",0.96,conv1.weight,0.1950883,-0.19508829712867737,0,0.95,-0.010000000000000009,gelu
"(2, 0, 0, 2)",0.94,conv1.weight,0.3612242,-0.3612242043018341,0,0.95,0.010000000000000009,gelu
"(2, 0, 1, 0)",0.95,conv1.weight,0.35501593,-0.35501593351364136,0,0.95,0.0,gelu
"(2, 0, 1, 1)",0.94,conv1.weight,0.3692894,-0.3692893981933594,0,0.95,0.010000000000000009,gelu
"(2, 0, 1, 2)",0.94,conv1.weight,0.17725667,-0.17725667357444763,0,0.95,0.010000000000000009,gelu
"(2, 0, 2, 0)",0.96,conv1.weight,0.3977754,-0.39777541160583496,0,0.95,-0.010000000000000009,gelu
"(2, 0, 2, 1)",0.94,conv1.weight,0.032750975,-0.03275097534060478,0,0.95,0.010000000000000009,gelu
"(2, 0, 2, 2)",0.95,conv1.weight,-0.6413902,0.6413902044296265,0,0.95,0.0,gelu
"(3, 0, 0, 0)",0.94,conv1.weight,-0.6070735,0.6070734858512878,0,0.95,0.010000000000000009,gelu
"(3, 0, 0, 1)",0.92,conv1.weight,-0.74573237,0.7457323670387268,0,0.95,0.029999999999999916,gelu
"(3, 0, 0, 2)",0.95,conv1.weight,0.36553097,-0.36553096771240234,0,0.95,0.0,gelu
"(3, 0, 1, 0)",0.94,conv1.weight,-0.64216727,0.6421672701835632,0,0.95,0.010000000000000009,gelu
"(3, 0, 1, 1)",0.94,conv1.weight,0.060474884,-0.060474883764982224,0,0.95,0.010000000000000009,gelu
"(3, 0, 1, 2)",0.95,conv1.weight,0.03090526,-0.030905259773135185,0,0.95,0.0,gelu
"(3, 0, 2, 0)",0.87,conv1.weight,-0.7046445,0.704644501209259,0,0.95,0.07999999999999996,gelu
"(3, 0, 2, 1)",0.93,conv1.weight,0.20696329,-0.20696328580379486,0,0.95,0.019999999999999907,gelu
"(3, 0, 2, 2)",0.93,conv1.weight,0.4282082,-0.42820820212364197,0,0.95,0.019999999999999907,gelu
"(0,)",0.95,conv1.bias,0.2540353,-0.2540352940559387,0,0.95,0.0,gelu
"(1,)",0.93,conv1.bias,0.17081459,-0.17081458866596222,0,0.95,0.019999999999999907,gelu
"(2,)",0.95,conv1.bias,-0.024226017,0.02422601729631424,0,0.95,0.0,gelu
"(3,)",0.96,conv1.bias,0.108664386,-0.1086643859744072,0,0.95,-0.010000000000000009,gelu
"(0, 0, 0, 0)",0.94,conv2.weight,-0.050065003,0.05006500333547592,0,0.95,0.010000000000000009,gelu
"(0, 0, 0, 1)",0.93,conv2.weight,0.408122,-0.4081220030784607,0,0.95,0.019999999999999907,gelu
"(0, 0, 0, 2)",0.95,conv2.weight,0.15852182,-0.15852181613445282,0,0.95,0.0,gelu
"(0, 0, 1, 0)",0.96,conv2.weight,-0.49385256,0.49385255575180054,0,0.95,-0.010000000000000009,gelu
