tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 0, 0, 0)",0.95,conv1.weight,-0.03126236,0.0312623605132103,0,0.95,0.0,leakyrelu
"(0, 0, 0, 1)",0.95,conv1.weight,0.013850815,-0.013850814662873745,0,0.95,0.0,leakyrelu
"(0, 0, 0, 2)",0.95,conv1.weight,0.31596008,-0.3159600794315338,0,0.95,0.0,leakyrelu
"(0, 0, 1, 0)",0.95,conv1.weight,-0.11065134,0.11065133661031723,0,0.95,0.0,leakyrelu
"(0, 0, 1, 1)",0.94,conv1.weight,-0.115198165,0.11519816517829895,0,0.95,0.010000000000000009,leakyrelu
"(0, 0, 1, 2)",0.95,conv1.weight,0.4858191,-0.48581910133361816,0,0.95,0.0,leakyrelu
"(0, 0, 2, 0)",0.93,conv1.weight,-0.4510134,0.45101338624954224,0,0.95,0.019999999999999907,leakyrelu
"(0, 0, 2, 1)",0.94,conv1.weight,-0.47323033,0.4732303321361542,0,0.95,0.010000000000000009,leakyrelu
"(0, 0, 2, 2)",0.94,conv1.weight,0.45553306,-0.45553305745124817,0,0.95,0.010000000000000009,leakyrelu
"(1, 0, 0, 0)",0.95,conv1.weight,0.18103977,-0.18103976547718048,0,0.95,0.0,leakyrelu
"(1, 0, 0, 1)",0.95,conv1.weight,0.10198678,-0.10198678076267242,0,0.95,0.0,leakyrelu
"(1, 0, 0, 2)",0.94,conv1.weight,0.20650312,-0.20650312304496765,0,0.95,0.010000000000000009,leakyrelu
"(1, 0, 1, 0)",0.94,conv1.weight,0.5236517,-0.5236517190933228,0,0.95,0.010000000000000009,leakyrelu
"(1, 0, 1, 1)",0.95,conv1.weight,0.44587064,-0.44587063789367676,0,0.95,0.0,leakyrelu
"(1, 0, 1, 2)",0.95,conv1.weight,0.11238163,-0.11238162964582443,0,0.95,0.0,leakyrelu
"(1, 0, 2, 0)",0.95,conv1.weight,0.045584965,-0.045584965497255325,0,0.95,0.0,leakyrelu
"(1, 0, 2, 1)",0.94,conv1.weight,0.3386976,-0.338697612285614,0,0.95,0.010000000000000009,leakyrelu
"(1, 0, 2, 2)",0.94,conv1.weight,0.18885861,-0.18885861337184906,0,0.95,0.010000000000000009,leakyrelu
"(2, 0, 0, 0)",0.92,conv1.weight,0.27899212,-0.2789921164512634,0,0.95,0.029999999999999916,leakyrelu
"(2, 0, 0, 1)",0.89,conv1.weight,0.40748677,-0.40748676657676697,0,0.95,0.05999999999999994,leakyrelu
"(2, 0, 0, 2)",0.93,conv1.weight,0.24060923,-0.24060922861099243,0,0.95,0.019999999999999907,leakyrelu
"(2, 0, 1, 0)",0.95,conv1.weight,0.16274981,-0.16274981200695038,0,0.95,0.0,leakyrelu
"(2, 0, 1, 1)",0.95,conv1.weight,0.021191929,-0.021191928535699844,0,0.95,0.0,leakyrelu
"(2, 0, 1, 2)",0.92,conv1.weight,0.47855195,-0.4785519540309906,0,0.95,0.029999999999999916,leakyrelu
"(2, 0, 2, 0)",0.9,conv1.weight,-0.5518761,0.5518761277198792,0,0.95,0.04999999999999993,leakyrelu
"(2, 0, 2, 1)",0.95,conv1.weight,-0.4392101,0.43921008706092834,0,0.95,0.0,leakyrelu
"(2, 0, 2, 2)",0.95,conv1.weight,0.293143,-0.29314300417900085,0,0.95,0.0,leakyrelu
