tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 0, 0, 0)",0.96,conv1.weight,0.37599877,-0.37599876523017883,0,0.98,0.020000000000000018,relu
"(0, 0, 0, 1)",0.97,conv1.weight,0.27309045,-0.2730904519557953,0,0.98,0.010000000000000009,relu
"(0, 0, 0, 2)",0.97,conv1.weight,-0.22638333,0.22638332843780518,0,0.98,0.010000000000000009,relu
"(0, 0, 1, 0)",0.96,conv1.weight,0.3167539,-0.31675389409065247,0,0.98,0.020000000000000018,relu
"(0, 0, 1, 1)",0.96,conv1.weight,0.2752458,-0.2752457857131958,0,0.98,0.020000000000000018,relu
"(0, 0, 1, 2)",0.97,conv1.weight,0.30430445,-0.30430445075035095,0,0.98,0.010000000000000009,relu
"(0, 0, 2, 0)",0.97,conv1.weight,-0.13810466,0.1381046622991562,0,0.98,0.010000000000000009,relu
"(0, 0, 2, 1)",0.96,conv1.weight,-0.3134435,0.31344351172447205,0,0.98,0.020000000000000018,relu
"(0, 0, 2, 2)",0.97,conv1.weight,0.42073986,-0.4207398593425751,0,0.98,0.010000000000000009,relu
"(1, 0, 0, 0)",0.95,conv1.weight,0.25937942,-0.25937941670417786,0,0.98,0.030000000000000027,relu
"(1, 0, 0, 1)",0.98,conv1.weight,-0.17815742,0.17815741896629333,0,0.98,0.0,relu
"(1, 0, 0, 2)",0.96,conv1.weight,-0.12546244,0.12546244263648987,0,0.98,0.020000000000000018,relu
"(1, 0, 1, 0)",0.95,conv1.weight,0.3165047,-0.31650468707084656,0,0.98,0.030000000000000027,relu
"(1, 0, 1, 1)",0.98,conv1.weight,-0.23523676,0.2352367639541626,0,0.98,0.0,relu
"(1, 0, 1, 2)",0.98,conv1.weight,-0.23963015,0.23963014781475067,0,0.98,0.0,relu
"(1, 0, 2, 0)",0.97,conv1.weight,0.16559257,-0.16559256613254547,0,0.98,0.010000000000000009,relu
"(1, 0, 2, 1)",0.97,conv1.weight,-0.3649037,0.36490368843078613,0,0.98,0.010000000000000009,relu
"(1, 0, 2, 2)",0.98,conv1.weight,0.12479714,-0.12479714304208755,0,0.98,0.0,relu
"(2, 0, 0, 0)",0.96,conv1.weight,0.47113648,-0.4711364805698395,0,0.98,0.020000000000000018,relu
"(2, 0, 0, 1)",0.97,conv1.weight,0.19782932,-0.19782932102680206,0,0.98,0.010000000000000009,relu
"(2, 0, 0, 2)",0.97,conv1.weight,-0.2460014,0.24600139260292053,0,0.98,0.010000000000000009,relu
"(2, 0, 1, 0)",0.96,conv1.weight,0.22903053,-0.2290305346250534,0,0.98,0.020000000000000018,relu
"(2, 0, 1, 1)",0.98,conv1.weight,0.16329111,-0.1632911115884781,0,0.98,0.0,relu
"(2, 0, 1, 2)",0.96,conv1.weight,-0.3710307,0.37103068828582764,0,0.98,0.020000000000000018,relu
"(2, 0, 2, 0)",0.94,conv1.weight,0.37195146,-0.37195146083831787,0,0.98,0.040000000000000036,relu
"(2, 0, 2, 1)",0.98,conv1.weight,-0.034626957,0.03462695702910423,0,0.98,0.0,relu
"(2, 0, 2, 2)",0.96,conv1.weight,-0.3900149,0.3900148868560791,0,0.98,0.020000000000000018,relu
"(3, 0, 0, 0)",0.95,conv1.weight,0.3320714,-0.3320713937282562,0,0.98,0.030000000000000027,relu
"(3, 0, 0, 1)",0.97,conv1.weight,0.07358116,-0.07358115911483765,0,0.98,0.010000000000000009,relu
"(3, 0, 0, 2)",0.95,conv1.weight,0.37924466,-0.3792446553707123,0,0.98,0.030000000000000027,relu
"(3, 0, 1, 0)",0.98,conv1.weight,0.011831034,-0.01183103397488594,0,0.98,0.0,relu
"(3, 0, 1, 1)",0.95,conv1.weight,0.5925235,-0.5925235152244568,0,0.98,0.030000000000000027,relu
"(3, 0, 1, 2)",0.95,conv1.weight,0.66289943,-0.6628994345664978,0,0.98,0.030000000000000027,relu
"(3, 0, 2, 0)",0.96,conv1.weight,0.2261227,-0.22612270712852478,0,0.98,0.020000000000000018,relu
"(3, 0, 2, 1)",0.97,conv1.weight,0.47070247,-0.47070246934890747,0,0.98,0.010000000000000009,relu
"(3, 0, 2, 2)",0.97,conv1.weight,0.127259,-0.1272590011358261,0,0.98,0.010000000000000009,relu
"(0,)",0.96,conv1.bias,0.36247957,-0.362479567527771,0,0.98,0.020000000000000018,relu
"(1,)",0.96,conv1.bias,-0.36852795,0.36852794885635376,0,0.98,0.020000000000000018,relu
"(2,)",0.97,conv1.bias,-0.21512169,0.21512168645858765,0,0.98,0.010000000000000009,relu
"(3,)",0.97,conv1.bias,0.2992621,-0.2992621064186096,0,0.98,0.010000000000000009,relu
"(0, 0, 0, 0)",0.97,conv2.weight,0.3977727,-0.3977726995944977,0,0.98,0.010000000000000009,relu
"(0, 0, 0, 1)",0.98,conv2.weight,0.13584593,-0.13584592938423157,0,0.98,0.0,relu
"(0, 0, 0, 2)",0.97,conv2.weight,0.36779532,-0.36779531836509705,0,0.98,0.010000000000000009,relu
"(0, 0, 1, 0)",0.97,conv2.weight,-0.04859812,0.04859812185168266,0,0.98,0.010000000000000009,relu
"(0, 0, 1, 1)",0.97,conv2.weight,-0.0945697,0.09456969797611237,0,0.98,0.010000000000000009,relu
"(0, 0, 1, 2)",0.98,conv2.weight,0.22976749,-0.22976748645305634,0,0.98,0.0,relu
"(0, 0, 2, 0)",0.98,conv2.weight,-0.30186355,0.30186355113983154,0,0.98,0.0,relu
"(0, 0, 2, 1)",0.97,conv2.weight,-0.17149717,0.1714971661567688,0,0.98,0.010000000000000009,relu
"(0, 0, 2, 2)",0.98,conv2.weight,-0.4263514,0.426351398229599,0,0.98,0.0,relu
"(0, 1, 0, 0)",0.98,conv2.weight,-0.055164926,0.05516492575407028,0,0.98,0.0,relu
"(0, 1, 0, 1)",0.98,conv2.weight,-0.1798251,0.179825097322464,0,0.98,0.0,relu
"(0, 1, 0, 2)",0.98,conv2.weight,-0.35042393,0.3504239320755005,0,0.98,0.0,relu
"(0, 1, 1, 0)",0.98,conv2.weight,-0.060609605,0.0606096051633358,0,0.98,0.0,relu
"(0, 1, 1, 1)",0.98,conv2.weight,-0.06112243,0.06112242862582207,0,0.98,0.0,relu
"(0, 1, 1, 2)",0.98,conv2.weight,-0.25171837,0.2517183721065521,0,0.98,0.0,relu
"(0, 1, 2, 0)",0.98,conv2.weight,-0.27333283,0.2733328342437744,0,0.98,0.0,relu
"(0, 1, 2, 1)",0.98,conv2.weight,-0.12376005,0.12376005202531815,0,0.98,0.0,relu
"(0, 1, 2, 2)",0.98,conv2.weight,-0.098571874,0.09857187420129776,0,0.98,0.0,relu
"(0, 2, 0, 0)",0.97,conv2.weight,0.09512677,-0.09512677043676376,0,0.98,0.010000000000000009,relu
"(0, 2, 0, 1)",0.98,conv2.weight,0.08396143,-0.08396142721176147,0,0.98,0.0,relu
"(0, 2, 0, 2)",0.96,conv2.weight,-0.18057726,0.18057726323604584,0,0.98,0.020000000000000018,relu
"(0, 2, 1, 0)",0.98,conv2.weight,-0.0462324,0.046232398599386215,0,0.98,0.0,relu
"(0, 2, 1, 1)",0.98,conv2.weight,0.011388679,-0.011388679035007954,0,0.98,0.0,relu
"(0, 2, 1, 2)",0.98,conv2.weight,0.108861625,-0.10886162519454956,0,0.98,0.0,relu
"(0, 2, 2, 0)",0.98,conv2.weight,-0.37113562,0.3711356222629547,0,0.98,0.0,relu
"(0, 2, 2, 1)",0.98,conv2.weight,-0.06514826,0.0651482567191124,0,0.98,0.0,relu
"(0, 2, 2, 2)",0.96,conv2.weight,-0.24570766,0.2457076609134674,0,0.98,0.020000000000000018,relu
"(0, 3, 0, 0)",0.97,conv2.weight,0.2874804,-0.2874804139137268,0,0.98,0.010000000000000009,relu
"(0, 3, 0, 1)",0.97,conv2.weight,0.19224945,-0.19224944710731506,0,0.98,0.010000000000000009,relu
"(0, 3, 0, 2)",0.98,conv2.weight,0.3267061,-0.3267061114311218,0,0.98,0.0,relu
"(0, 3, 1, 0)",0.95,conv2.weight,-0.2171784,0.21717840433120728,0,0.98,0.030000000000000027,relu
"(0, 3, 1, 1)",0.98,conv2.weight,0.016704617,-0.0167046170681715,0,0.98,0.0,relu
"(0, 3, 1, 2)",0.98,conv2.weight,0.13806869,-0.13806869089603424,0,0.98,0.0,relu
"(0, 3, 2, 0)",0.97,conv2.weight,-0.25760296,0.2576029598712921,0,0.98,0.010000000000000009,relu
"(0, 3, 2, 1)",0.95,conv2.weight,-0.2142243,0.21422429382801056,0,0.98,0.030000000000000027,relu
"(0, 3, 2, 2)",0.97,conv2.weight,-0.22199997,0.22199997305870056,0,0.98,0.010000000000000009,relu
"(1, 0, 0, 0)",0.98,conv2.weight,0.2817597,-0.28175970911979675,0,0.98,0.0,relu
"(1, 0, 0, 1)",0.98,conv2.weight,-0.05347005,0.05347004905343056,0,0.98,0.0,relu
"(1, 0, 0, 2)",0.97,conv2.weight,0.11671194,-0.11671193689107895,0,0.98,0.010000000000000009,relu
"(1, 0, 1, 0)",0.98,conv2.weight,-0.0008431318,0.0008431317983195186,0,0.98,0.0,relu
"(1, 0, 1, 1)",0.98,conv2.weight,0.023203107,-0.023203106597065926,0,0.98,0.0,relu
"(1, 0, 1, 2)",0.98,conv2.weight,-0.013674109,0.013674109242856503,0,0.98,0.0,relu
"(1, 0, 2, 0)",0.96,conv2.weight,-0.12366934,0.1236693412065506,0,0.98,0.020000000000000018,relu
"(1, 0, 2, 1)",0.97,conv2.weight,-0.08592703,0.08592703193426132,0,0.98,0.010000000000000009,relu
"(1, 0, 2, 2)",0.97,conv2.weight,-0.104334466,0.10433446615934372,0,0.98,0.010000000000000009,relu
"(1, 1, 0, 0)",0.98,conv2.weight,-0.12732562,0.1273256242275238,0,0.98,0.0,relu
"(1, 1, 0, 1)",0.98,conv2.weight,-0.03789531,0.037895310670137405,0,0.98,0.0,relu
"(1, 1, 0, 2)",0.98,conv2.weight,-0.10415111,0.10415110737085342,0,0.98,0.0,relu
"(1, 1, 1, 0)",0.98,conv2.weight,-0.21447125,0.2144712507724762,0,0.98,0.0,relu
"(1, 1, 1, 1)",0.98,conv2.weight,-0.1690597,0.16905969381332397,0,0.98,0.0,relu
"(1, 1, 1, 2)",0.98,conv2.weight,-0.19259478,0.19259478151798248,0,0.98,0.0,relu
"(1, 1, 2, 0)",0.98,conv2.weight,0.24836168,-0.24836167693138123,0,0.98,0.0,relu
"(1, 1, 2, 1)",0.98,conv2.weight,0.035373203,-0.035373203456401825,0,0.98,0.0,relu
"(1, 1, 2, 2)",0.98,conv2.weight,-0.05709334,0.057093340903520584,0,0.98,0.0,relu
"(1, 2, 0, 0)",0.98,conv2.weight,-0.23395471,0.23395471274852753,0,0.98,0.0,relu
"(1, 2, 0, 1)",0.97,conv2.weight,-0.30980986,0.3098098635673523,0,0.98,0.010000000000000009,relu
"(1, 2, 0, 2)",0.97,conv2.weight,-0.36233175,0.362331748008728,0,0.98,0.010000000000000009,relu
"(1, 2, 1, 0)",0.98,conv2.weight,0.036230296,-0.03623029589653015,0,0.98,0.0,relu
"(1, 2, 1, 1)",0.97,conv2.weight,0.16593531,-0.16593530774116516,0,0.98,0.010000000000000009,relu
