tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 0, 0, 0)",0.93,conv1.weight,0.41750234,-0.41750234365463257,0,0.95,0.019999999999999907,rrelu
"(0, 0, 0, 1)",0.95,conv1.weight,-0.21061492,0.21061491966247559,0,0.95,0.0,rrelu
"(0, 0, 0, 2)",0.95,conv1.weight,-0.26212677,0.26212677359580994,0,0.95,0.0,rrelu
"(0, 0, 1, 0)",0.94,conv1.weight,0.12138292,-0.12138292193412781,0,0.95,0.010000000000000009,rrelu
"(0, 0, 1, 1)",0.95,conv1.weight,-0.1243619,0.12436190247535706,0,0.95,0.0,rrelu
"(0, 0, 1, 2)",0.93,conv1.weight,-0.6818493,0.6818493008613586,0,0.95,0.019999999999999907,rrelu
"(0, 0, 2, 0)",0.95,conv1.weight,0.113990486,-0.11399048566818237,0,0.95,0.0,rrelu
"(0, 0, 2, 1)",0.95,conv1.weight,-0.53346777,0.5334677696228027,0,0.95,0.0,rrelu
"(0, 0, 2, 2)",0.95,conv1.weight,-0.46104968,0.4610496759414673,0,0.95,0.0,rrelu
"(1, 0, 0, 0)",0.93,conv1.weight,0.34232986,-0.34232985973358154,0,0.95,0.019999999999999907,rrelu
"(1, 0, 0, 1)",0.95,conv1.weight,-0.20969114,0.2096911370754242,0,0.95,0.0,rrelu
"(1, 0, 0, 2)",0.94,conv1.weight,-0.52644265,0.5264426469802856,0,0.95,0.010000000000000009,rrelu
"(1, 0, 1, 0)",0.94,conv1.weight,0.11683038,-0.11683037877082825,0,0.95,0.010000000000000009,rrelu
"(1, 0, 1, 1)",0.95,conv1.weight,-0.6589488,0.6589487791061401,0,0.95,0.0,rrelu
"(1, 0, 1, 2)",0.95,conv1.weight,-0.57859886,0.5785988569259644,0,0.95,0.0,rrelu
"(1, 0, 2, 0)",0.94,conv1.weight,-0.60839057,0.6083905696868896,0,0.95,0.010000000000000009,rrelu
"(1, 0, 2, 1)",0.93,conv1.weight,-0.73034674,0.7303467392921448,0,0.95,0.019999999999999907,rrelu
"(1, 0, 2, 2)",0.95,conv1.weight,-0.109162584,0.1091625839471817,0,0.95,0.0,rrelu
"(2, 0, 0, 0)",0.89,conv1.weight,0.23792022,-0.23792022466659546,0,0.95,0.05999999999999994,rrelu
"(2, 0, 0, 1)",0.89,conv1.weight,0.20974952,-0.2097495198249817,0,0.95,0.05999999999999994,rrelu
"(2, 0, 0, 2)",0.95,conv1.weight,-0.15404008,0.15404008328914642,0,0.95,0.0,rrelu
"(2, 0, 1, 0)",0.72,conv1.weight,0.53354436,-0.5335443615913391,0,0.95,0.22999999999999998,rrelu
"(2, 0, 1, 1)",0.93,conv1.weight,-0.2456461,0.24564610421657562,0,0.95,0.019999999999999907,rrelu
"(2, 0, 1, 2)",0.91,conv1.weight,-0.30603766,0.30603766441345215,0,0.95,0.039999999999999925,rrelu
"(2, 0, 2, 0)",0.88,conv1.weight,0.35825473,-0.35825473070144653,0,0.95,0.06999999999999995,rrelu
"(2, 0, 2, 1)",0.91,conv1.weight,-0.26725936,0.2672593593597412,0,0.95,0.039999999999999925,rrelu
"(2, 0, 2, 2)",0.91,conv1.weight,0.16074303,-0.16074302792549133,0,0.95,0.039999999999999925,rrelu
"(3, 0, 0, 0)",0.95,conv1.weight,-0.22365646,0.22365646064281464,0,0.95,0.0,rrelu
"(3, 0, 0, 1)",0.95,conv1.weight,-0.03541854,0.035418540239334106,0,0.95,0.0,rrelu
"(3, 0, 0, 2)",0.95,conv1.weight,0.28016958,-0.2801695764064789,0,0.95,0.0,rrelu
"(3, 0, 1, 0)",0.95,conv1.weight,0.4430346,-0.4430345892906189,0,0.95,0.0,rrelu
"(3, 0, 1, 1)",0.95,conv1.weight,0.17755035,-0.17755034565925598,0,0.95,0.0,rrelu
"(3, 0, 1, 2)",0.94,conv1.weight,0.41409528,-0.41409528255462646,0,0.95,0.010000000000000009,rrelu
"(3, 0, 2, 0)",0.95,conv1.weight,0.14959463,-0.14959463477134705,0,0.95,0.0,rrelu
"(3, 0, 2, 1)",0.94,conv1.weight,0.265821,-0.26582100987434387,0,0.95,0.010000000000000009,rrelu
"(3, 0, 2, 2)",0.95,conv1.weight,0.5744991,-0.5744990706443787,0,0.95,0.0,rrelu
"(0,)",0.95,conv1.bias,0.36079186,-0.3607918620109558,0,0.95,0.0,rrelu
"(1,)",0.93,conv1.bias,0.57767516,-0.5776751637458801,0,0.95,0.019999999999999907,rrelu
"(2,)",0.95,conv1.bias,-0.29062757,0.2906275689601898,0,0.95,0.0,rrelu
"(3,)",0.94,conv1.bias,0.20829986,-0.20829986035823822,0,0.95,0.010000000000000009,rrelu
"(0, 0, 0, 0)",0.93,conv2.weight,0.11722506,-0.11722505837678909,0,0.95,0.019999999999999907,rrelu
"(0, 0, 0, 1)",0.95,conv2.weight,-0.019596968,0.019596967846155167,0,0.95,0.0,rrelu
"(0, 0, 0, 2)",0.95,conv2.weight,-0.28348902,0.28348901867866516,0,0.95,0.0,rrelu
"(0, 0, 1, 0)",0.95,conv2.weight,-0.020659931,0.020659931004047394,0,0.95,0.0,rrelu
"(0, 0, 1, 1)",0.95,conv2.weight,-0.10778988,0.10778988152742386,0,0.95,0.0,rrelu
"(0, 0, 1, 2)",0.95,conv2.weight,-0.046074424,0.04607442393898964,0,0.95,0.0,rrelu
"(0, 0, 2, 0)",0.95,conv2.weight,-0.10180542,0.1018054187297821,0,0.95,0.0,rrelu
"(0, 0, 2, 1)",0.95,conv2.weight,-0.22552,0.22551999986171722,0,0.95,0.0,rrelu
"(0, 0, 2, 2)",0.94,conv2.weight,0.054601412,-0.054601412266492844,0,0.95,0.010000000000000009,rrelu
"(0, 1, 0, 0)",0.93,conv2.weight,0.055835962,-0.05583596229553223,0,0.95,0.019999999999999907,rrelu
"(0, 1, 0, 1)",0.94,conv2.weight,0.023141041,-0.0231410413980484,0,0.95,0.010000000000000009,rrelu
"(0, 1, 0, 2)",0.94,conv2.weight,-0.34328482,0.34328481554985046,0,0.95,0.010000000000000009,rrelu
"(0, 1, 1, 0)",0.93,conv2.weight,0.087246165,-0.08724616467952728,0,0.95,0.019999999999999907,rrelu
"(0, 1, 1, 1)",0.95,conv2.weight,-0.13711819,0.13711819052696228,0,0.95,0.0,rrelu
"(0, 1, 1, 2)",0.95,conv2.weight,-0.08906891,0.08906891196966171,0,0.95,0.0,rrelu
"(0, 1, 2, 0)",0.95,conv2.weight,0.20823193,-0.20823192596435547,0,0.95,0.0,rrelu
"(0, 1, 2, 1)",0.95,conv2.weight,-0.030528223,0.030528223142027855,0,0.95,0.0,rrelu
"(0, 1, 2, 2)",0.95,conv2.weight,0.018549286,-0.01854928582906723,0,0.95,0.0,rrelu
