tensor_location,criterion_score,layer_name,value_before,value_after,bit_i,baseline_score,accuracy_drop,activation
"(0, 0, 0, 0)",0.86,conv1.weight,-0.38583264,0.38583263754844666,0,0.87,0.010000000000000009,rwg
"(0, 0, 0, 1)",0.88,conv1.weight,0.14081931,-0.14081931114196777,0,0.87,-0.010000000000000009,rwg
"(0, 0, 0, 2)",0.88,conv1.weight,-0.021431856,0.021431855857372284,0,0.87,-0.010000000000000009,rwg
"(0, 0, 1, 0)",0.85,conv1.weight,0.25074813,-0.2507481276988983,0,0.87,0.020000000000000018,rwg
"(0, 0, 1, 1)",0.86,conv1.weight,-0.038173854,0.0381738543510437,0,0.87,0.010000000000000009,rwg
"(0, 0, 1, 2)",0.81,conv1.weight,0.29642895,-0.29642894864082336,0,0.87,0.05999999999999994,rwg
"(0, 0, 2, 0)",0.87,conv1.weight,-0.06760132,0.06760132312774658,0,0.87,0.0,rwg
"(0, 0, 2, 1)",0.9,conv1.weight,0.055932213,-0.05593221262097359,0,0.87,-0.030000000000000027,rwg
"(0, 0, 2, 2)",0.88,conv1.weight,0.082776055,-0.08277605473995209,0,0.87,-0.010000000000000009,rwg
"(1, 0, 0, 0)",0.87,conv1.weight,0.019926473,-0.01992647349834442,0,0.87,0.0,rwg
"(1, 0, 0, 1)",0.86,conv1.weight,0.20620728,-0.206207275390625,0,0.87,0.010000000000000009,rwg
"(1, 0, 0, 2)",0.86,conv1.weight,0.016861176,-0.01686117611825466,0,0.87,0.010000000000000009,rwg
"(1, 0, 1, 0)",0.56,conv1.weight,-0.5589511,0.5589510798454285,0,0.87,0.30999999999999994,rwg
"(1, 0, 1, 1)",0.87,conv1.weight,-0.018889515,0.018889514729380608,0,0.87,0.0,rwg
"(1, 0, 1, 2)",0.76,conv1.weight,-0.3051226,0.30512261390686035,0,0.87,0.10999999999999999,rwg
"(1, 0, 2, 0)",0.89,conv1.weight,0.24466158,-0.2446615844964981,0,0.87,-0.020000000000000018,rwg
"(1, 0, 2, 1)",0.74,conv1.weight,-0.32462105,0.3246210515499115,0,0.87,0.13,rwg
"(1, 0, 2, 2)",0.88,conv1.weight,-0.15644722,0.15644721686840057,0,0.87,-0.010000000000000009,rwg
"(2, 0, 0, 0)",0.87,conv1.weight,-0.10128486,0.10128486156463623,0,0.87,0.0,rwg
"(2, 0, 0, 1)",0.89,conv1.weight,-0.14675078,0.1467507779598236,0,0.87,-0.020000000000000018,rwg
"(2, 0, 0, 2)",0.91,conv1.weight,-0.1386099,0.1386099010705948,0,0.87,-0.040000000000000036,rwg
"(2, 0, 1, 0)",0.87,conv1.weight,0.0059220376,-0.0059220376424491405,0,0.87,0.0,rwg
"(2, 0, 1, 1)",0.84,conv1.weight,-0.17495862,0.17495861649513245,0,0.87,0.030000000000000027,rwg
"(2, 0, 1, 2)",0.89,conv1.weight,0.07298375,-0.0729837492108345,0,0.87,-0.020000000000000018,rwg
"(2, 0, 2, 0)",0.9,conv1.weight,0.065535896,-0.06553589552640915,0,0.87,-0.030000000000000027,rwg
"(2, 0, 2, 1)",0.85,conv1.weight,0.10374612,-0.10374612361192703,0,0.87,0.020000000000000018,rwg
"(2, 0, 2, 2)",0.83,conv1.weight,0.20421974,-0.2042197436094284,0,0.87,0.040000000000000036,rwg
"(3, 0, 0, 0)",0.91,conv1.weight,-0.24090017,0.2409001737833023,0,0.87,-0.040000000000000036,rwg
"(3, 0, 0, 1)",0.64,conv1.weight,-0.50260293,0.5026029348373413,0,0.87,0.22999999999999998,rwg
"(3, 0, 0, 2)",0.88,conv1.weight,-0.15586452,0.15586452186107635,0,0.87,-0.010000000000000009,rwg
"(3, 0, 1, 0)",0.72,conv1.weight,-0.41209868,0.4120986759662628,0,0.87,0.15000000000000002,rwg
"(3, 0, 1, 1)",0.88,conv1.weight,0.22972298,-0.2297229766845703,0,0.87,-0.010000000000000009,rwg
"(3, 0, 1, 2)",0.88,conv1.weight,0.063769,-0.06376899778842926,0,0.87,-0.010000000000000009,rwg
"(3, 0, 2, 0)",0.53,conv1.weight,-0.59701556,0.5970155596733093,0,0.87,0.33999999999999997,rwg
"(3, 0, 2, 1)",0.87,conv1.weight,-0.0027951687,0.002795168664306402,0,0.87,0.0,rwg
"(3, 0, 2, 2)",0.89,conv1.weight,0.14374773,-0.1437477320432663,0,0.87,-0.020000000000000018,rwg
"(0,)",0.89,conv1.bias,-0.19207922,0.19207921624183655,0,0.87,-0.020000000000000018,rwg
"(1,)",0.87,conv1.bias,-0.106171936,0.10617193579673767,0,0.87,0.0,rwg
"(2,)",0.89,conv1.bias,-0.04495598,0.04495598003268242,0,0.87,-0.020000000000000018,rwg
"(3,)",0.89,conv1.bias,-0.25808367,0.25808367133140564,0,0.87,-0.020000000000000018,rwg
"(0, 0, 0, 0)",0.87,conv2.weight,0.09680167,-0.09680166840553284,0,0.87,0.0,rwg
"(0, 0, 0, 1)",0.87,conv2.weight,-0.19433582,0.19433581829071045,0,0.87,0.0,rwg
"(0, 0, 0, 2)",0.86,conv2.weight,-0.17952771,0.17952771484851837,0,0.87,0.010000000000000009,rwg
"(0, 0, 1, 0)",0.87,conv2.weight,0.12683584,-0.12683583796024323,0,0.87,0.0,rwg
"(0, 0, 1, 1)",0.87,conv2.weight,0.021897744,-0.02189774438738823,0,0.87,0.0,rwg
"(0, 0, 1, 2)",0.89,conv2.weight,0.7317089,-0.7317088842391968,0,0.87,-0.020000000000000018,rwg
"(0, 0, 2, 0)",0.88,conv2.weight,-0.1076867,0.10768669843673706,0,0.87,-0.010000000000000009,rwg
"(0, 0, 2, 1)",0.88,conv2.weight,-0.15501957,0.15501956641674042,0,0.87,-0.010000000000000009,rwg
"(0, 0, 2, 2)",0.88,conv2.weight,-0.1120797,0.11207970231771469,0,0.87,-0.010000000000000009,rwg
"(0, 1, 0, 0)",0.87,conv2.weight,-0.42497748,0.42497748136520386,0,0.87,0.0,rwg
